,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
138,349901206.2760567,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
139,341809749.53366446,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
140,348864669.7910164,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
141,347506457.80734754,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
142,345290428.5683774,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
143,357374097.3602285,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0
144,348562222.07605195,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
145,350516531.06890035,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
146,338452822.1488768,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
147,343314309.2496952,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
148,349197995.68816066,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
149,341903735.5903117,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
150,342230490.7110573,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
151,347971604.400115,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
152,344294518.95774704,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
153,345067878.0422545,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
154,343850624.9693463,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
155,352381921.11041504,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
156,347882687.7082067,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
157,344559349.0698768,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,262.0,0.0
158,344475359.50751245,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,262.0,0.0
159,364555710.76805526,245.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0
160,340926123.059924,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
161,349596658.26006645,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
162,346396310.59150875,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
163,359416756.3647787,245.0,0.0,6.0,0.0,6.0,0.0,278.0,0.0,278.0,0.0
164,346215718.6629468,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
165,342551665.79266775,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,35.0,0.0
166,345926750.12999815,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
167,341116906.1837818,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
168,346414173.95745724,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
169,343620668.0232235,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
170,344715624.7395806,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
171,342912309.40001726,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
172,338777094.5822278,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
173,343485719.49913174,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
174,347047432.9290387,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
175,346236612.16057086,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
176,351681311.1470314,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
177,342172645.54405814,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
178,341149025.7685854,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
179,353012726.50686044,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
180,351790737.1973427,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
181,342309056.17798203,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
182,344040204.1173275,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
183,342127230.25149506,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
184,352066179.17125374,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
185,353442573.7912421,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
186,343091054.5248629,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
187,348824370.0011279,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
188,346699226.1145249,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
189,343033782.3461171,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
190,344468066.93922144,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,262.0,0.0
191,348388183.278928,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,269.0,0.0
