,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
408,18732625.449625608,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
409,20015320.782533627,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
410,19630819.058545716,95.0,0.0,95.0,0.0,329.0,0.0,450.0,0.0,450.0,0.0
411,19190934.94675605,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
412,19896564.549376555,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
413,19489723.82350929,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
414,19942715.011636674,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0
415,20228789.51423884,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
416,19446566.249215804,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
417,19586146.47535841,269.0,0.0,269.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
418,18930091.1054016,139.0,0.0,139.0,0.0,104.0,0.0,104.0,0.0,104.0,0.0
419,21122110.011161894,212.0,0.0,429.0,0.0,371.0,0.0,419.0,0.004,419.0,0.004
420,19311837.265616067,269.0,0.0,420.0,0.12400000000000001,420.0,0.096,420.0,0.054000000000000006,420.0,0.02600000000000001
421,18623087.020399157,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0
422,20181512.649532016,212.0,0.0,429.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
423,19701296.841086995,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
424,20388305.481043622,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,273.0,0.0
425,19437065.244725768,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
