,cluster_num
2016-12-20,1
2016-12-21,1
2016-12-22,1
2016-12-23,1
2016-12-24,13
2016-12-25,13
2016-12-26,1
2016-12-27,1
2016-12-28,1
2016-12-29,1
2016-12-30,1
2016-12-31,13
